idmeter,r_entr_d2d_median,r_entr_d2d_morn_median,r_entr_d2d_daytime_median,r_entr_d2d_pre-peak_median,r_entr_d2d_peak_median,r_entr_d2d_post-peak_median,r_entr_d2mean_median,r_entr_d2mean_morn_median,r_entr_d2mean_daytime_median,r_entr_d2mean_pre-peak_median,r_entr_d2mean_peak_median,r_entr_d2mean_post-peak_median,daily_mean,total_cons
22818047.0,0.090396892,0.020858739,0.043086199,0.035044558,0.029975282,0.012238595,0.262939705,0.03962969,0.054560117,0.057564683,0.032181228,0.016648836,30.83757732,11964.98
23257155.0,0.0510875715,0.014665505,0.036606780500000005,0.0339469365,0.029471977500000003,0.007643128000000001,0.3485803845,0.034453450499999996,0.08723265150000001,0.0698295555,0.053142427,0.0159360615,29.31870844,11463.615
22953972.0,0.044044734,0.00024798699999999997,0.0233446405,0.017652670500000002,0.023678399000000003,0.0001228135,0.849344095,0.005994259,0.041929961,0.055141512,0.305187881,0.003615572,29.0688312,11365.913
22818223.0,0.106513581,0.016228578,0.016014104,0.0154009005,0.033654943,0.0002411445,0.4776809405,0.0582571615,0.039689181000000004,0.014942381000000001,0.1777275955,0.008139813499999999,27.78034527,10862.115
22818189.0,0.656003529,0.12126551,0.101914391,0.067386003,0.116922536,0.018659479,0.542707827,0.109370196,0.054180186,0.071581544,0.089379628,0.017231026,26.94237245,10561.41
22818040.0,0.116148625,0.018506303,0.042681063,0.03930595,0.041102027,0.010946431,0.336665048,0.028933808,0.079780523,0.070013323,0.051970588,0.01786363,26.63332895,10120.665
23257246.0,1.374703086,0.617022983,0.0556247815,0.05181235,0.1528661115,0.041806296,0.610670974,0.034210187,0.045906943000000006,0.048299510500000004,0.089861943,0.015212508,26.27056555,10219.25
23257369.0,4.997986155,0.384459108,0.036460069,0.031053502,0.057513133,0.452856389,0.643921341,0.083708639,0.023289928,0.045577465,0.118681668,0.008079889,25.01075641,9754.195
23257474.0,0.225629642,0.022887443,0.072154463,0.039185255,0.054497803,0.002687669,0.59624384,0.029161887,0.079226085,0.063368797,0.077414499,0.014854535,23.61474359,9209.75
22825987.0,0.134364022,0.005378688499999999,0.039277919,0.039591992500000006,0.05443926,0.0045933765,0.5717179725,0.035387956,0.0761316065,0.083736546,0.13715306700000002,0.017431982999999998,23.42764706,9160.21
23257105.0,0.956526217,0.004495186,0.065787618,0.050055275,0.084844331,0.002745471,0.880883547,0.018266878,0.0902715,0.149360952,0.162456809,0.010832286,22.30280769,8698.095
22953686.0,0.21025102,0.039683921,0.049209332,0.0479717,0.044077679,0.001587762,0.651359807,0.083377977,0.058148654,0.062621438,0.072233374,0.015196557,22.20938974,8661.662
22825396.0,0.185721096,0.033608234,0.023398297,0.0229172765,0.0440204555,0.006708109,0.41611183,0.069578066,0.029822911,0.034255877,0.114104094,0.012820481,22.03249488,8614.7055
23257518.0,0.147619764,0.022540119,0.042292561,0.034384581,0.041924299,0.00887465,0.393112668,0.040232013,0.062369447,0.058760877,0.026344438,0.017293836,21.19115885,8137.405
23257344.0,5.24586773,0.1872146255,0.0443086375,0.0414621565,0.1032071105,0.9615644465,0.730224659,0.234018326,0.027702202000000002,0.06689086,0.048840807,0.0126878235,21.07838462,8220.57
22818744.0,0.0279838605,0.0064192204999999995,0.0169421,0.014845639,0.0155257295,0.0041459240000000005,0.1856106555,0.017719308,0.0322936335,0.034586956,0.043426440999999996,0.0283586115,20.61348071,6946.743
22817993.0,0.125626254,0.029641894,0.043553122,0.04605934,0.047683135,0.012553732,0.430227648,0.034012526,0.05498256,0.108376815,0.034564772,0.016502893,20.26516582,7943.945
23257014.0,0.153552469,0.021545101,0.050103412,0.039602516,0.043838424,0.0080198,0.300295617,0.038975782,0.051580641,0.055982748,0.016818805,0.014306575,20.14383929,7896.385
22818048.0,0.082402753,0.022965914,0.03615911,0.028133887,0.022843833,0.004740726,0.41125242149999996,0.049012665,0.0798064505,0.06612641799999999,0.015548764999999999,0.0180033265,20.04183805,7796.275
22818224.0,0.17509448049999998,0.0222774525,0.0292464755,0.031377949,0.043904457499999994,0.0035493825,0.501249972,0.07872762550000001,0.0596110385,0.050842027,0.065363434,0.016582148999999997,19.3918509,7543.43
22821156.0,0.041719669,0.016113834,0.027256797,0.018717927500000002,0.0304675365,0.0060391214999999995,0.205581809,0.030959863,0.028553629,0.026716801,0.055262091,0.009486999,19.30855115,7549.6435
22817239.0,0.22812353149999998,0.020864523500000003,0.036856844,0.0326060865,0.0534565615,0.0060533055,0.492871259,0.022256288,0.02771307,0.033082696,0.1718347205,0.013096268500000001,18.47447442,7223.5195
23257119.0,0.16292414,0.0191156445,0.06415864800000001,0.060732931500000004,0.058443524499999996,0.0089437775,0.558531594,0.0354144975,0.0796154815,0.0981629945,0.033988659000000004,0.017226492,17.7806266,6952.225
22821354.0,0.2037323305,0.021340110500000002,0.052701463000000004,0.047229638000000004,0.0536664165,0.035365892,0.2982690135,0.0362673625,0.034965378000000005,0.044109623,0.045020009,0.108300923,17.2873312,6759.3465
22818052.0,1.87107889,0.623364581,0.068880027,0.061141772,1.486625272,0.507120374,0.664424235,0.05032063,0.065381582,0.06513933,0.063101114,0.015071975,16.57761598,6432.115
23257192.0,0.4762976415,0.0107910045,0.04805616,0.060318897999999996,0.056403604499999996,0.0048146375,0.641133831,0.0247306905,0.0766549755,0.082380397,0.136513826,0.015703407,16.56543478,6477.085
23256820.0,0.1601714135,0.0124559955,0.06360172,0.046330775000000005,0.061668807000000006,0.009402552500000001,0.515803033,0.0392308495,0.07831511999999999,0.1068397755,0.035200482500000005,0.017297358,15.98875959,6251.605
22818108.0,0.098711437,0.017402661,0.029399556,0.02817426,0.027964121,0.002248175,0.431613847,0.022254061,0.065260135,0.038641242,0.256134719,0.017560941,15.91021907,6173.165
22818291.0,0.189337996,0.027536749,0.042829867,0.067978701,0.070094631,0.017960197,0.410055224,0.035111247,0.042608419,0.126898478,0.080050455,0.016364375,15.87291026,6190.435
22818667.0,0.17691061149999998,0.004107395999999999,0.051129350000000004,0.035554419500000004,0.058097078499999996,0.0034331965,0.5977689365000001,0.032728741000000006,0.042974723,0.053396947,0.2947208805,0.017178723,15.70921964,6079.468
22823134.0,0.191199584,0.023384113499999998,0.04354843,0.04168784,0.068672011,0.0092962505,0.6092101025,0.0265565875,0.065138604,0.0844837715,0.039462978499999996,0.015074238,15.51973585,5757.822
23257280.0,2.356456605,0.117606997,0.099451553,0.16685317,0.122522301,0.198851849,0.792597284,0.039958006,0.143633987,0.116337335,0.067100029,0.010321107,15.49596154,6043.425
22820026.0,0.075309225,0.01546508,0.037386676,0.034799804,0.038187041,0.010176222,0.316628176,0.038545819,0.061853256,0.094313434,0.026352283,0.015976702,15.39671046,6035.5105
22823266.0,0.152937061,0.022248685,0.02892541,0.027559311,0.053121267,0.010325984,0.363433311,0.02508239,0.037988883,0.057678722,0.048629806,0.016888368,15.3749641,5996.236
23257469.0,5.797692928,5.68911463,0.23857881050000002,0.1572538895,1.610935502,0.0002009025,0.9317195155,0.0163555965,0.040467401,0.0876781685,0.3835730915,0.0009536025,15.36550129,5977.18
23257376.0,0.302589659,0.027393535,0.052428493500000006,0.0538573975,0.0728832435,0.0143764945,0.6414486385,0.034762954,0.0869737625,0.09064030049999999,0.0641654235,0.016080347000000002,15.33987212,5997.89
23257092.0,1.9196842715,0.0452275055,0.10060688549999999,0.0807092645,0.12804532200000002,0.035996733,0.7100380150000001,0.028123982999999998,0.1229326955,0.09380870399999999,0.0687968125,0.015737890999999997,15.11799233,5911.135
22817681.0,4.119519503,0.063133355,0.101220693,0.085161427,0.286290262,0.018021072,0.66263494,0.0328305375,0.046967796,0.0358098975,0.19488698599999998,0.010821207,14.73407326,5731.5545
22821217.0,0.208440979,0.0214039055,0.0460203005,0.0377284975,0.06345701100000001,0.0244456835,0.324607468,0.039145602,0.054459607,0.061749989,0.044095532,0.038165949,14.41194487,5620.6585
22820876.0,0.060239008,0.001407123,0.03287803,0.02845341,0.040435472,0.000942225,0.608960439,0.025153225,0.050368048,0.068249429,0.165265525,0.014189426,14.22755995,5577.2035
